PL,EN
nie,not
to,"""Its"""
się,up
na,on
co,every
że,that
jest,is
do,until
tak,yes
jak,like
mnie,me
ale,But
mi,Mi
za,for
ja,me
ci,CI
tu,here
go,go
tego,this
tym,this
ty,You
czy,or
tylko,only
po,after
jestem,"""Im"""
cię,you
ma,has
może,maybe
już,already
mam,I have
jesteś,You are
pan,Mr.
coś,something
dla,for
wiem,I know
dobrze,good
jeśli,If
od,from
teraz,Now
proszę,please
tam,there
wszystko,All
masz,You have
więc,So
nic,nothing
być,be
będzie,It will be
gdzie,where
są,there are
on,on
mogę,I can
ten,This
ciebie,you
sobie,ourselves
wiesz,You know
ze,from
bardzo,very
jej,her
kiedy,When
był,was
jeszcze,more
nas,us
chcę,I want
mój,my
było,It was
no,no
przez,by
by,by
pani,Mrs.
ją,her
jego,his
ich,of them
dlaczego,Why
chcesz,you want
żeby,to
tutaj,here
mamy,We have
też,Also
bo,because
dobra,Okay
kto,who
nigdy,never
przepraszam,sorry
mu,MU
naprawdę,really
możesz,You can
chyba,I think
porządku,Right
dziękuję,Thank you
muszę,I must
panie,Lord
właśnie,just
ona,she
domu,House
zrobić,do
nawet,Even
gdy,when
prawda,Truth
te,these
nam,us
będę,I will be
zawsze,Always
bez,Without
nim,before
je,Je
była,was
jesteśmy,We are
dzięki,Thanks
tej,This
moja,my
trochę,a little
ktoś,someone
musisz,You must
cześć,Hi
hej,Hey
lat,
moje,my
pana,Pan
musimy,We must
dalej,Next
twój,Your
wszyscy,all
czas,Time
chce,I want
który,which
więcej,more
tobą,you
boże,God
powiedzieć,say
sam,Sam
chodzi,It is
czego,what
ta,TA
możemy,We can
albo,or
mną,me
razem,Total
niech,Let
dobry,good
raz,once
stało,It stood
was,you
czym,what
prostu,Simply
będziesz,You will be
chodź,Come
czemu,Why
przed,before
ludzi,people
daj,Give
ludzie,People
dzień,Day
przy,at
życie,Life
niż,than
robisz,you do
myślę,I think
lepiej,Better
kim,Kim
myślisz,You think
miał,He was
my,My
nikt,Nobody
czasu,time
powiedz,Say
rzeczy,Things
twoja,Your
tych,these
stąd,Hence
niego,him
mówi,says
im,IM
temu,ago
jeden,one
pod,Under
musi,Must
siebie,yourself
twoje,Your
powiedział,said
oczywiście,Of course
ok,around
moim,my
oni,they
dwa,two
które,which
pewnie,probably
dziś,Today
kurwa,Fuck
wie,knows
taki,Such
aby,to
skąd,Where did 90515 come
cholera,Damn
dzieje,History
wygląda,looks
wtedy,then
mojego,My
takie,Such
ile,how many
wszystkie,All
mieć,have
dlatego,"""Thats"" why"
znaczy,means
będziemy,We will be
potem,Then
jasne,Jasne
iść,go
dużo,Lots of
cóż,Well
tę,This
byłem,I was
rozumiem,I understand
wam,WAM
miejsce,place
cały,all
trzeba,you need
moją,My
można,You can
pomóc,help
jako,as
nich,them
szybko,fast
jakiś,about
mojej,my
nią,her
mają,They have
wszystkich,all
jakieś,about
wiedzieć,know
swoje,Your
przykro,Sorry
stary,old
zaraz,immediately
myśli,thoughts
dzieci,children
nad,over
wiele,many
kochanie,Honey
kilka,several
mówię,I speak
mówisz,you speak
zanim,Before
miałem,I was
kocham,I love
świetnie,Great
tobie,you
takiego,such
tyle,So much
robić,do
trzy,Three
idź,Go
kogoś,someone
ani,not
pewno,surely
myślałem,I thought
widzisz,You see
kiedyś,once
robi,does
widzę,I see
jaki,what
