,PL,EN
0,['nie'],['not']
1,['to'],"[""It's""]"
2,['się'],['up']
3,['na'],['on']
4,['co'],['every']
5,['że'],['that']
6,['jest'],['is']
7,['do'],['until']
8,['tak'],['yes']
9,['jak'],['like']
10,['mnie'],['me']
11,['ale'],['But']
12,['mi'],['Mi']
13,['za'],['for']
14,['ja'],['me']
15,['ci'],['CI']
16,['tu'],['here']
17,['go'],['go']
18,['tego'],['this']
19,['tym'],['this']
20,['ty'],['You']
21,['czy'],['or']
22,['tylko'],['only']
23,['po'],['after']
24,['jestem'],"[""I'm""]"
25,['cię'],['you']
26,['ma'],['has']
27,['może'],['maybe']
28,['już'],['already']
29,['mam'],"['I', 'have']"
30,['jesteś'],"['You', 'are']"
31,['pan'],['Mr.']
32,['coś'],['something']
33,['dla'],['for']
34,['wiem'],"['I', 'know']"
35,['dobrze'],['good']
36,['jeśli'],['If']
37,['od'],['from']
38,['teraz'],['Now']
39,['proszę'],['please']
40,['tam'],['there']
41,['wszystko'],['All']
42,['masz'],"['You', 'have']"
43,['więc'],['So']
44,['nic'],['nothing']
45,['być'],['be']
46,['będzie'],"['It', 'will', 'be']"
47,['gdzie'],['where']
48,['są'],"['there', 'are']"
49,['on'],['on']
50,['mogę'],"['I', 'can']"
51,['ten'],['This']
52,['ciebie'],['you']
53,['sobie'],['ourselves']
54,['wiesz'],"['You', 'know']"
55,['ze'],['from']
56,['bardzo'],['very']
57,['jej'],['her']
58,['kiedy'],['When']
59,['był'],['was']
60,['jeszcze'],['more']
61,['nas'],['us']
62,['chcę'],"['I', 'want']"
63,['mój'],['my']
64,['było'],"['It', 'was']"
65,['no'],['no']
66,['przez'],['by']
67,['by'],['by']
68,['pani'],['Mrs.']
69,['ją'],['her']
70,['jego'],['his']
71,['ich'],"['of', 'them']"
72,['dlaczego'],['Why']
73,['chcesz'],"['you', 'want']"
74,['żeby'],['to']
75,['tutaj'],['here']
76,['mamy'],"['We', 'have']"
77,['też'],['Also']
78,['bo'],['because']
79,['dobra'],['Okay']
80,['kto'],['who']
81,['nigdy'],['never']
82,['przepraszam'],['sorry']
83,['mu'],['MU']
84,['naprawdę'],['really']
85,['możesz'],"['You', 'can']"
86,['chyba'],"['I', 'think']"
87,['porządku'],['Right']
88,['dziękuję'],"['Thank', 'you']"
89,['muszę'],"['I', 'must']"
90,['panie'],['Lord']
91,['właśnie'],['just']
92,['ona'],['she']
93,['domu'],['House']
94,['zrobić'],['do']
95,['nawet'],['Even']
96,['gdy'],['when']
97,['prawda'],['Truth']
98,['te'],['these']
99,['nam'],['us']
100,['będę'],"['I', 'will', 'be']"
101,['zawsze'],['Always']
102,['bez'],['Without']
103,['nim'],['before']
104,['je'],['Je']
105,['była'],['was']
106,['jesteśmy'],"['We', 'are']"
107,['dzięki'],['Thanks']
108,['tej'],['This']
109,['moja'],['my']
110,['trochę'],"['a', 'little']"
111,['ktoś'],['someone']
112,['musisz'],"['You', 'must']"
113,['cześć'],['Hi']
114,['hej'],['Hey']
115,['lat'],[]
116,['moje'],['my']
117,['pana'],['Pan']
118,['musimy'],"['We', 'must']"
119,['dalej'],['Next']
120,['twój'],['Your']
121,['wszyscy'],['all']
122,['czas'],['Time']
123,['chce'],"['I', 'want']"
124,['który'],['which']
125,['więcej'],['more']
126,['tobą'],['you']
127,['boże'],['God']
128,['powiedzieć'],['say']
129,['sam'],['Sam']
130,['chodzi'],"['It', 'is']"
131,['czego'],['what']
132,['ta'],['TA']
133,['możemy'],"['We', 'can']"
134,['albo'],['or']
135,['mną'],['me']
136,['razem'],['Total']
137,['niech'],['Let']
138,['dobry'],['good']
139,['raz'],['once']
140,['stało'],"['It', 'stood']"
141,['was'],['you']
142,['czym'],['what']
143,['prostu'],['Simply']
144,['będziesz'],"['You', 'will', 'be']"
145,['chodź'],['Come']
146,['czemu'],['Why']
147,['przed'],['before']
148,['ludzi'],['people']
149,['daj'],['Give']
150,['ludzie'],['People']
151,['dzień'],['Day']
152,['przy'],['at']
153,['życie'],['Life']
154,['niż'],['than']
155,['robisz'],"['you', 'do']"
156,['myślę'],"['I', 'think']"
157,['lepiej'],['Better']
158,['kim'],['Kim']
159,['myślisz'],"['You', 'think']"
160,['miał'],"['He', 'was']"
161,['my'],['My']
162,['nikt'],['Nobody']
163,['czasu'],['time']
164,['powiedz'],['Say']
165,['rzeczy'],['Things']
166,['twoja'],['Your']
167,['tych'],['these']
168,['stąd'],['Hence']
169,['niego'],['him']
170,['mówi'],['says']
171,['im'],['IM']
172,['temu'],['ago']
173,['jeden'],['one']
174,['pod'],['Under']
175,['musi'],['Must']
176,['siebie'],['yourself']
177,['twoje'],['Your']
178,['powiedział'],['said']
179,['oczywiście'],"['Of', 'course']"
180,['ok'],['around']
181,['moim'],['my']
182,['oni'],['they']
183,['dwa'],['two']
184,['które'],['which']
185,['pewnie'],['probably']
186,['dziś'],['Today']
187,['kurwa'],['Fuck']
188,['wie'],['knows']
189,['taki'],['Such']
190,['aby'],['to']
191,['skąd'],"['Where', 'did', '90515', 'come']"
192,['cholera'],['Damn']
